id,loc,cnty,lon,lat,elev
2,foula-no-2,shetland,-2.065,60.11,22
3,fair-isle,shetland,-1.63,59.526,57
4,sumburgh,shetland,-1.299,59.879,7
5,hamnavoe,shetland,-1.333,60.104,21
9,lerwick,shetland,-1.185,60.139,82
10,sella-ness,shetland,-1.278,60.447,7
11,muckle-holm,shetland,-1.266,60.581,20
12,baltasound-no-2,shetland,-0.856,60.748,15
13,baltasound,shetland,-0.888,60.759,24
16,north-rona-island,orkney,-5.827,59.124,98
17,sule-skerry,orkney,-4.405,59.082,12
23,kirkwall,orkney,-2.901,58.953,26
26,dounreay,caithness,-3.739,58.579,21
30,scrabster-harbour,caithness,-3.547,58.612,10
32,wick-airport,caithness,-3.09,58.454,36
35,geisgeil,sutherland,-5.126,58.319,12
36,duartmore-bridge,sutherland,-5.072,58.289,30
37,cape-wrath,sutherland,-5,58.625,112
40,cassley,sutherland,-4.727,58.168,99
43,lairg-no-2,sutherland,-4.407,58.019,91
44,altnaharra-no-2,sutherland,-4.442,58.288,81
45,torrisdale,sutherland,-4.273,58.523,27
48,kinbrace-hatchery,sutherland,-3.922,58.23,103
50,strathy-east,sutherland,-3.992,58.561,68
52,aultbea-no-2,ross-and-cromarty,-5.633,57.859,11
54,stornoway-airport,western-isles,-6.319,58.213,15
55,butt-of-lewis,western-isles,-6.262,58.516,16
58,diabaig,ross-and-cromarty,-5.692,57.579,60
63,inverpolly,ross-and-cromarty,-5.267,58.068,14
64,plockton,ross-and-cromarty,-5.653,57.337,12
67,loch-glascarnoch,ross-and-cromarty,-4.895,57.725,269
74,dingwall,ross-and-cromarty,-4.447,57.6,7
77,invergordon-harbour,ross-and-cromarty,-4.167,57.687,3
78,invergordon,ross-and-cromarty,-4.158,57.703,15
79,tain-range,ross-and-cromarty,-3.967,57.819,4
82,barra-w-i,western-isles,-7.449,57.025,3
83,lochboisdale,western-isles,-7.316,57.155,6
84,benbecula-airport,western-isles,-7.371,57.475,6
89,rhum-kinloch,inverness-shire,-6.282,57.014,5
90,skye-prabost,inverness-shire,-6.305,57.467,67
92,inverailort,inverness-shire,-5.67,56.872,2
96,onich,inverness-shire,-5.224,56.72,15
101,corpach,inverness-shire,-5.149,56.839,8
102,kiltarlity,inverness-shire,-4.497,57.427,75
103,aonach-mor,inverness-shire,-4.969,56.822,1130
105,tulloch-bridge,inverness-shire,-4.708,56.867,249
106,fort-augustus-no-2,inverness-shire,-4.718,57.138,42
110,lentran,inverness-shire,-4.373,57.459,146
111,dalwhinnie-no-2,inverness-shire,-4.238,56.94,351
113,aviemore,inverness-shire,-3.828,57.206,228
116,dalcross,inverness-shire,-4.062,57.542,11
117,cairngorm-summit,inverness-shire,-3.643,57.116,1237
120,cairngorm,inverness-shire,-3.645,57.124,1090
126,nairn,nairnshire,-3.893,57.587,8
127,forres-no-2,moray-in-grampian-region,-3.61,57.615,5
128,grantown-on-spey-grammar-school,moray-in-highland-region,-3.6,57.334,218
130,grantown-on-spey,moray-in-highland-region,-3.606,57.335,220
132,kinloss,moray-in-grampian-region,-3.563,57.645,5
133,aldroughty,moray-in-grampian-region,-3.379,57.645,30
137,lossiemouth,moray-in-grampian-region,-3.323,57.711,7
139,clashnoir,banffshire,-3.287,57.282,338
141,keith,banffshire,-2.949,57.553,106
145,cairnwell,aberdeenshire,-3.421,56.879,928
148,balmoral,aberdeenshire,-3.22,57.037,283
